hub_code,spoke_code,aircraft_type,passenger_demand,seats,mtow_tonnes,hub_lat,hub_lon,spoke_lat,spoke_lon,hub_country,hub_mass_fee,hub_pax_fee,spoke_country,spoke_mass_fee,spoke_pax_fee,hub_unit_rate,spoke_unit_rate,distance_km,distance_nm,one_way_fuel_kg,block_hours_per_leg,passengers_boarded,uncaptured_demand,blended_unit_rate,roundtrip_fuel_cost,roundtrip_hourly_cost,roundtrip_enroute_cost,roundtrip_mass_fees,roundtrip_pax_fees,total_roundtrip_doc,roundtrip_revenue,uncaptured_revenue,net_roundtrip_profit,cask_eur_per_ask,breakeven_lf,actual_lf
FRA,POZ,A320neo,160,180,73.5,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,2835.634459645387,1.104104705528356,160,0,98.04,6295.108500412759,3974.7769399020813,1505.9234719006226,666,6896,19337.808912215463,20270.33448460221,0,932.5255723867449,0.08479960451852496,84.8,88.9
FRA,POZ,A320neo,180,180,73.5,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,2835.634459645387,1.104104705528356,180,0,98.04,6295.108500412759,3974.7769399020813,1505.9234719006226,666,7758,20199.808912215463,22804.126295177484,0,2604.317382962021,0.08857962217341003,88.6,100
FRA,POZ,A320neo,200,180,73.5,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,2835.634459645387,1.104104705528356,180,20,98.04,6295.108500412759,3974.7769399020813,1505.9234719006226,666,7758,20199.808912215463,22804.126295177484,2533.791810575276,2604.317382962021,0.08857962217341003,88.6,100
FRA,POZ,A320neo,220,180,73.5,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,2835.634459645387,1.104104705528356,180,40,98.04,6295.108500412759,3974.7769399020813,1505.9234719006226,666,7758,20199.808912215463,22804.126295177484,5067.583621150552,2604.317382962021,0.08857962217341003,88.6,100
FRA,POZ,A321neo,100,215,89,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3305.761515451383,1.104104705528356,100,0,98.04,7338.79056430207,3974.7769399020813,1657.1210580942607,801,4310,18081.688562298412,12668.95905287638,0,-5412.729509422032,0.06638341530897261,66.4,46.5
FRA,POZ,A321neo,120,215,89,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3305.761515451383,1.104104705528356,120,0,98.04,7338.79056430207,3974.7769399020813,1657.1210580942607,801,5172,18943.688562298412,15202.750863451656,0,-3740.9376988467557,0.06954808125259733,69.5,55.8
FRA,POZ,A321neo,140,215,89,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3305.761515451383,1.104104705528356,140,0,98.04,7338.79056430207,3974.7769399020813,1657.1210580942607,801,6034,19805.688562298412,17736.542674026932,0,-2069.1458882714796,0.07271274719622205,72.7,65.1
FRA,POZ,A321neo,160,215,89,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3305.761515451383,1.104104705528356,160,0,98.04,7338.79056430207,3974.7769399020813,1657.1210580942607,801,6896,20667.688562298412,20270.33448460221,0,-397.3540776962036,0.07587741313984676,75.9,74.4
FRA,POZ,A321neo,180,215,89,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3305.761515451383,1.104104705528356,180,0,98.04,7338.79056430207,3974.7769399020813,1657.1210580942607,801,7758,21529.688562298412,22804.126295177484,0,1274.4377328790724,0.07904207908347148,79,83.7
FRA,POZ,A321neo,200,215,89,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3305.761515451383,1.104104705528356,200,0,98.04,7338.79056430207,3974.7769399020813,1657.1210580942607,801,8620,22391.688562298412,25337.91810575276,0,2946.2295434543485,0.08220674502709621,82.2,93
FRA,POZ,A321neo,220,215,89,50.033333,8.570556,52.421001434299995,16.8262996674,DE,2.5,28.1,PL,2,15,97.79,98.29,633.447952643819,342.034531665129,3305.761515451383,1.104104705528356,215,5,98.04,7338.79056430207,3974.7769399020813,1657.1210580942607,801,9266.5,23038.188562298412,27238.261963684217,633.447952643819,4200.0734013858055,0.08458024448481474,84.6,100
FRA,PRG,A319,100,138,68,50.033333,8.570556,50.1008,14.26,DE,2.5,28.1,CZ,2,15,97.79,79.34,406.50980027615043,219.49773233053477,2853.1978309254346,0.8339402384239886,100,0,88.565,6334.099184654466,3002.184858326359,839.7163260919153,612,4310,15098.000369072739,8130.196005523008,0,-6967.804363549731,0.1345672351583748,134.6,72.5
FRA,PRG,A319,120,138,68,50.033333,8.570556,50.1008,14.26,DE,2.5,28.1,CZ,2,15,97.79,79.34,406.50980027615043,219.49773233053477,2853.1978309254346,0.8339402384239886,120,0,88.565,6334.099184654466,3002.184858326359,839.7163260919153,612,5172,15960.000369072739,9756.23520662761,0,-6203.765162445128,0.14225017024056827,142.3,87
FRA,PRG,A319,140,138,68,50.033333,8.570556,50.1008,14.26,DE,2.5,28.1,CZ,2,15,97.79,79.34,406.50980027615043,219.49773233053477,2853.1978309254346,0.8339402384239886,138,2,88.565,6334.099184654466,3002.184858326359,839.7163260919153,612,5947.8,16735.80036907274,11219.670487621754,162.6039201104602,-5516.129881450985,0.1491648118145424,149.2,100
FRA,PRG,A319,160,138,68,50.033333,8.570556,50.1008,14.26,DE,2.5,28.1,CZ,2,15,97.79,79.34,406.50980027615043,219.49773233053477,2853.1978309254346,0.8339402384239886,138,22,88.565,6334.099184654466,3002.184858326359,839.7163260919153,612,5947.8,16735.80036907274,11219.670487621754,1788.643121215062,-5516.129881450985,0.1491648118145424,149.2,100
FRA,PRG,A319,180,138,68,50.033333,8.570556,50.1008,14.26,DE,2.5,28.1,CZ,2,15,97.79,79.34,406.50980027615043,219.49773233053477,2853.1978309254346,0.8339402384239886,138,42,88.565,6334.099184654466,3002.184858326359,839.7163260919153,612,5947.8,16735.80036907274,11219.670487621754,3414.6823223196643,-5516.129881450985,0.1491648118145424,149.2,100
